system,ucl_id,operator_intid,operator_altid,operator_name,notes,initial_bikes,initial_size,curr_bikes,curr_size,created_dt,updated_dt,updated_dt_nonzerobikes,operator_status,operator_installflag,operator_lockflag,operator_tempflag,geometry
london,114,114,114,"Park Road (Baker Street), Regent's Park",NA,14,22,0,22,2010-08-06T01:00:00Z,2015-05-21T14:38:01Z,2015-05-21 14:38:01,NA,1,0,0,"c(-0.158964, 51.524517)"
london,115,115,115,"Braham Street, Aldgate",NA,5,34,24,34,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.073538, 51.514234)"
london,116,116,116,"Little Argyll Street, West End",NA,12,21,19,21,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.141424, 51.5145)"
london,117,117,117,"Lollard Street, Vauxhall",NA,11,25,5,25,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.114934, 51.492881)"
london,118,118,118,"Rochester Row, Westminster",NA,7,13,13,13,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.135478, 51.495827)"
london,119,119,119,"Bath Street, St. Luke's",NA,16,18,6,18,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.090848, 51.525893)"
london,120,120,120,"The Guildhall, Guildhall",NA,12,17,13,17,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.093081, 51.515735)"
london,121,121,121,"Baker Street, Marylebone",NA,8,22,5,22,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.156167, 51.518913)"
london,122,122,122,"Norton Folgate, Liverpool Street",NA,12,23,8,23,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.07887, 51.521114)"
london,123,123,123,"St. John Street, Finsbury",NA,6,18,2,18,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.104725, 51.52836)"
london,124,124,124,"Eaton Square, Belgravia",NA,13,20,4,20,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.150905, 51.496545)"
london,125,125,125,"Borough High Street, The Borough",NA,11,21,1,21,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.094524, 51.500695)"
london,126,126,126,"Museum of London, Barbican",NA,35,52,37,52,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.096497, 51.517821)"
london,127,127,127,"Wood Street, Guildhall",NA,13,17,11,17,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.093885, 51.517008)"
london,128,128,128,"Emperor's Gate, South Kensington",NA,9,22,3,22,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.185297, 51.495362)"
london,129,129,129,"Golden Square, Soho",NA,14,18,13,18,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.137044, 51.511897)"
london,130,130,130,"Tower Gardens , Tower",NA,19,24,17,24,2010-08-06T01:00:00Z,2019-09-04T15:26:02Z,2019-09-04 15:26:02,NA,1,0,0,"c(-0.075459, 51.509506)"
